id,clave,variante,descripcion,informacion,disponible,marca,categoria,existencias,precioant,precio,destacado,orden_prod,orden_cat,createdat,related_products
24,19286,,"Sujetadores con matraca, carga pesada","Sujetador con matraca carga máxima 3000 kg, con gancho doble tipo J",1 dia,Truper,Automotriz,,,445,,,,,[]
25,19281,,"Sujetadores con matraca, carga ligera","Juego de 2 sujetadores con matraca carga máxima 675 kg, con gancho tipo S",1 dia,Truper,Automotriz,,,185,,,,,[]
26,44442,,Acopladores de bola para remolques,"Acoplador para remolque, para bola de 2"", con acabado galvanizado",1 dia,Truper,Automotriz,,,435,,,,,[]
27,44440,,Bola de arrastre para remolques,"Bola de arrastre para remolque, 2"", 3,500 lb, con acabado cromado",1 dia,Truper,Automotriz,,,179,,,,,[]
28,18344,,Correa de 5.8 con ganchos para remolque,"Correa con ganchos para remolque, 48 mm x 5.8 m, 100% poliester, con gancho de acero forjado y seguros de enganche rapido",1 dia,Truper,Automotriz,,,355,,,,,[]
29,14140,,"Iman extensible de acero inoxidable, 1.5 kg","Imán extensible de acero inoxidable, 1.5 kg, extension minima 15 cm, extension maxima 65 cm",1 dia,Truper,Automotriz,,,64,,,,,[]
30,14210,,Puntas y ganchos multiusos,"Juego de 4 puntas y ganchos multiusos, para alinear, perforar y hacer guias",1 dia,Truper,Automotriz,,,97,,,,,[]
31,15147,,Afiladores de cuchillos,"Afilador de cuchillos, cuerpo de acero inoxidable, con hojas de carburo de tungsteno, soporte de ABS y base antiderrapante",1 dia,Truper,Corte y desbaste,,,199,,,,,[]
32,11669,,Piedras para afilar,"Piedra para afilar guadaña, grano 120, para biselado de vidrio y afilado",1 dia,Truper,Corte y desbaste,,,45,,,,,[]
33,10234,,Arco profesional tubular de acero,"Arco 12"" profesional tubular de acero para segueta, con palanca para ajuste de tension de la hoja con mango inyectado en aluminio",1 dia,Truper,Corte y desbaste,,,167,,,,,[]
34,20017,,Arco de solera,"Arco 12"" de solera para segueta, compacto y resistente con mango en ABS",1 dia,Pretul,Corte y desbaste,,,102,,,,,[]
35,18100,,"Seguetas bimetalicas para arco, 12''","Segueta bimetálica de 12"", 18 dpp, diente estandar",1 dia,Truper expert,Corte y desbaste,,,23,,,,,[]
36,18101,,"Seguetas bimetalicas para arco, 12''","Segueta bimetálica de 12"", 18 dpp, diente fino",1 dia,Truper expert,Corte y desbaste,,,23,,,,,[]
37,11541,,"Carda copa 5"" alambre trenzado fino","Carda copa 5"" alambre trenzado fino, eje 5/8""-11, fabricada de acero al carbono para trabajo pesado y desbaste rapido calibre 0.35 mm",1 dia,Truper,Corte y desbaste,,,255,,,,,[]
38,11542,,"Carda copa 5"" alambre trenzado grueso","Carda copa 5"" alambre trenzado grueso, eje 5/8""-11, fabricada de acero al carbono para trabajo pesado y desbaste rapido, calibre 05 mm",1 dia,Truper,Corte y desbaste,,,255,,,,,[]
39,14187,,"Carda copa 4"" alambre trenzado fino","Carda copa 4"" alambre trenzado fino, eje 5/8""-11, para acabado rugoso, fabricada de acero al carbono, calibre 0.35 mm",1 dia,Truper,Corte y desbaste,,,199,,,,,[]
40,17531,,"Carda copa 4"" alambre trenzado grueso","Carda copa 4"" alambre trenzado grueso, eje 5/8""-11, para acabado aspero, fabricada de acero al carbono, calibre 0.5 mm",1 dia,Truper,Corte y desbaste,,,199,,,,,[]
41,14186,,"Carda copa 3"" alambre trenzado fino","Carda copa 3"" alambre trenzado fino, eje 5/8""-11, para acabado rugoso, fabricada de acero al carbono, calibre 0.35 mm",1 dia,Truper,Corte y desbaste,,,129,,,,,[]
42,17529,,"Carda copa 3"" alambre trenzado grueso","Carda copa 3"" alambre trenzado grueso, eje 5/8""-11, para acabado rugoso, fabricada de acero al carbono, calibre 0.5 mm",1 dia,Truper,Corte y desbaste,,,129,,,,,[]
43,44233*,,"Abrazadera acero inoxidable, ancho 1/2"" - 3/4""","Bolsa de abrazadera sin fin, reforzada, de acero inoxidable con 10pz. diametro 13-19mm",,FIERO,Plomeria,,,0,,,,,[]
44,44234*,,"Abrazadera acero inoxidable, ancho 5/8"" - 7/8""","Bolsa de abrazadera sin fin, reforzada, de acero inoxidable con 10pz. diametro 16-23mm",,FIERO,Plomeria,,,0,,,,,[]
45,44235*,,"Abrazadera acero inoxidable, ancho 3/4"" - 1 1/16""","Bolsa de abrazadera sin fin, reforzada, de acero inoxidable con 10pz. diametro 19-27mm",,FIERO,Plomeria,,,0,,,,,[]
46,44236*,,"Abrazadera acero inoxidable, ancho 5/8"" - 1 1/4""","Bolsa de abrazadera sin fin, reforzada, de acero inoxidable con 10pz. diametro 16-32mm",,FIERO,Plomeria,,,0,,,,,[]
47,44237*,,"Abrazadera acero inoxidable, ancho 3/4"" - 1 1/2""","Bolsa de abrazadera sin fin, reforzada, de acero inoxidable con 10pz. diametro 19-38mm",,FIERO,Plomeria,,,0,,,,,[]
48,44038*,,"Bandola mosquetón de acero 1/4""","Fabricada en acero al carbono, ideal para conexión instantánea de acables y cuerdas con una carga de trabajo de 120kg. Largo de 2 1/2"" con espesor de 6.5mm.",,FIERO,Tornillería y fijación,,,0,,,,,[]
49,44039*,,"Bandola mosquetón de acero 5/16""","Fabricada en acero al carbono, idual para conexión instantánea de acables y cuerdas con una carga de trabajo de 230kg. Largo de 3"" con espesor de 8mm.",,FIERO,Tornillería y fijación,,,0,,,,,[]
50,44021*,,"Bandola de acero con seguro 3/16""","Fabricada en acero al carbono con tornillo de bloqueo roscado, ideal para arrastre y anclaje con una carga de trabajo de 300kg. Largo 2"" con un espesor de 5mm",,FIERO,Tornillería y fijación,,,0,,,,,[]
51,44022*,,"Bandola de acero con seguro 1/4""","Fabricada en acero al carbono con tornillo de bloqueo roscado, ideal para arrastre y anclaje con una carga de trabajo de 400kg. Largo 2 1/4"" con un espesor de 6.5mm.",,FIERO,Tornillería y fijación,,,0,,,,,[]
52,44031*,,"Bandola metálica 5/8""","Cuerpo metalico y ojo giratorio, ideal para sujetar cordones o correa para perros. Tiene un largo de 3"" y el ojo un diametro de 16mm",,FIERO,Tornillería y fijación,,,0,,,,,[]
53,44032*,,"Bandola metálica 7/8""","Cuerpo metalico y ojo giratorio, ideal para sujetar cordones o correa para perros. Tiene un largo de 3 1/2"" y el ojo un diametro de 22mm",,FIERO,Tornillería y fijación,,,0,,,,,[]
54,44208,,"Cable de acero galvanizado 15/64"" 7x7 hilos",Carrete de plástico con 75mts. Cable con diametro de 1.5mm. Carga de trabajo 170kg.,,FIERO,Construcción,,,0,,,,,[]
55,44209,,"Cable de acero galvanizado 3/32"" 7x7 hilos",Carrete de plástico con 75mts. Cable con diametro 2.5mm. Carga de trabajo 330kg.,,FIERO,Construcción,,,0,,,,,[]
